,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
Romania,-0.4000000000,-0.3000000000,-0.3000000000,364.2191780822,-7.6000000000,-6.5000000000,-6.5000000000,1066.3841551632,12.0000000000,0.8000000000,0.7000000000,0.7000000000,0.2000000000,0.1000000000,99.6000000000,0.1000000000,0.0000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.0000000000,0.1000000000,0.3000000000,0.5000000000,0.8000000000,1.1000000000,1.3000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,5596.0494247292,1.9800000000,2.0000000000,1.3000000000,1.3000000000,0.1700746896,0.1750023660,0.0002446632,0.0030654866,0.2215209822,52.2504125454,0.3327276239,,46.4948967564,0.4789211099,,,,,0.1778413966,0.0001007437,0.0402686921,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,12.6028707033,18.0000000000,226.8516726600,1.5000000000,1.4000000000,1.4000000000,12.6028707033,18.0000000000,9192.8920547945,1.5000000000,1.4000000000,1.4000000000,290.6776594283,179.9000000000,3625.4052054795,,50.0000000000,1.5000000000,1.4000000000,1.4000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,62.4478306725,,,7623.9015342466,2.4000000000,1.7000000000,1.7000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,105.4639263917,500.0000000000,2.5000000000,1.3000000000,1.3000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,710.8233672732,29.0000000000,1.7000000000,1.2000000000,1.2000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
Slovakia,-0.2000000000,-0.4000000000,-0.4000000000,348.1818181818,-4.8000000000,-2.8000000000,-2.8000000000,1216.2300793384,12.0000000000,2.3000000000,0.7000000000,0.7000000000,0.4000000000,0.0000000000,94.5000000000,2.5000000000,0.5000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.1000000000,0.2000000000,0.4000000000,0.6000000000,0.9000000000,1.2000000000,1.4000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,5412.7575023540,1.9500000000,2.4000000000,0.8000000000,0.8000000000,0.1711108412,0.1733600000,2.0000000000,0.1000000000,,51.7000000000,0.4000000000,,44.3000000000,,,,,,,,0.1000000000,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,0.0000000000,18.0000000000,0.0000000000,2.9000000000,1.1000000000,1.1000000000,2.8567385151,18.0000000000,9136.2909090909,2.9000000000,1.1000000000,1.1000000000,694.5333521619,179.9000000000,3714.8122501409,,60.8762760974,2.9000000000,1.1000000000,1.1000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,247.6001275656,,,6737.2536284221,2.8000000000,1.0000000000,1.0000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,518.0655508628,500.0000000000,1.7000000000,0.6000000000,0.6000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,152.7533796685,29.0000000000,1.4000000000,0.5000000000,0.5000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
Slovenia,0.0000000000,0.0000000000,0.0000000000,226.9611650485,-0.9000000000,-8.9000000000,-8.9000000000,1793.1240783838,12.0000000000,0.4000000000,0.2000000000,0.2000000000,0.1000000000,0.0000000000,95.9000000000,4.0000000000,0.0000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.3000000000,0.9000000000,1.7000000000,2.1000000000,2.4000000000,2.8000000000,3.1000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,13348.6462463405,1.6400000000,0.9000000000,0.6000000000,0.6000000000,0.1676230440,0.1745320870,0.8320858378,0.0230501708,1.6043932106,48.0082710430,,,48.7829425358,,,,,,,0.5805603471,0.1686968548,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,0.0000000000,18.0000000000,0.0000000000,3.4000000000,1.9000000000,1.9000000000,0.0000000000,18.0000000000,6182.4221359223,3.4000000000,1.9000000000,1.9000000000,269.3248906935,179.9000000000,2792.4825689726,,65.5825817619,3.4000000000,1.9000000000,1.9000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,333.7501260753,,,5508.8979830573,3.9000000000,1.8000000000,1.8000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,593.5906590636,500.0000000000,2.2000000000,1.2000000000,1.2000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,,29.0000000000,0.0000000000,0.0000000000,0.0000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
Spain,-0.3000000000,0.1000000000,0.1000000000,223.2222222222,-7.6000000000,-4.5000000000,-4.5000000000,689.3928427416,12.0000000000,0.5000000000,0.8000000000,0.8000000000,0.8000000000,0.2000000000,94.7000000000,4.3000000000,0.0000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.1000000000,0.3000000000,0.5000000000,0.8000000000,1.0000000000,1.2000000000,1.5000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,7388.5637462907,1.7400000000,1.4000000000,0.9000000000,0.9000000000,0.1757793923,0.1736697772,0.2629495213,0.0500377674,0.4831716197,42.9414977939,1.3016100588,0.0253714336,54.7079833499,0.0563552989,0.0008388255,0.0002998700,0.0000000000,0.0001985626,0.0000000000,0.0098106118,0.1598752865,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,5.1160712609,18.0000000000,92.0892826959,2.8000000000,2.0000000000,2.0000000000,5.1160712609,18.0000000000,6303.7955555556,2.8000000000,2.0000000000,2.0000000000,599.6511431362,179.9000000000,2734.3044444445,,50.0000000000,2.8000000000,2.0000000000,2.0000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,,,,6840.6634444445,2.3000000000,0.8000000000,0.8000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,,500.0000000000,1.3000000000,0.9000000000,0.9000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,,29.0000000000,1.2000000000,0.7000000000,0.7000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
Sweden,0.8000000000,0.6000000000,0.6000000000,28.8000000000,-0.5000000000,-2.1000000000,-2.1000000000,990.0798109837,12.0000000000,1.1000000000,1.0000000000,1.0000000000,0.3000000000,0.0000000000,79.6000000000,20.1000000000,0.0000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.3000000000,0.4000000000,0.7000000000,1.3000000000,1.9000000000,2.5000000000,2.8000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,11423.7741072009,1.4500000000,0.8000000000,0.5000000000,0.5000000000,0.1822167202,0.1789444822,0.0002521000,0.2102126503,5.3114763890,52.2470161536,2.1746537454,1.2092075468,33.6476374445,0.0164252873,0.0821070444,0.0007563001,0.0018422695,0.0000581769,0.5967983683,3.9131356339,0.5884208899,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,7.3249462298,18.0000000000,131.8490321356,1.5000000000,0.9000000000,0.9000000000,7.3249462298,18.0000000000,842.1120000000,1.5000000000,0.9000000000,0.9000000000,1305.1946206366,179.9000000000,1505.5560000000,,50.0000000000,1.5000000000,0.9000000000,0.9000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,95.3547817456,,,5760.6480000000,1.9000000000,1.3000000000,1.3000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,213.2017748408,500.0000000000,1.2000000000,0.7000000000,0.7000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,,29.0000000000,1.7000000000,1.4000000000,1.4000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
Switzerland,0.1000000000,0.1000000000,0.1000000000,0.0000000000,-3.5000000000,-4.5000000000,-4.5000000000,738.2784164462,12.0000000000,0.6000000000,0.5000000000,0.5000000000,1.0000000000,0.0000000000,99.0000000000,0.0000000000,0.0000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.2000000000,0.4000000000,0.9000000000,1.2000000000,1.5000000000,1.9000000000,2.3000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,11427.6412562817,1.6100000000,0.8000000000,0.5000000000,0.5000000000,0.1925750650,0.1819335890,0.0128622878,0.0921797290,0.9325158635,66.4422912022,1.9572114560,,29.6389984565,0.1522037386,,0.0021437146,0.0000000000,0.0000000000,0.1500600240,0.0042874293,0.6152460984,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,3.7658425631,18.0000000000,67.7851661365,1.6000000000,1.2000000000,1.2000000000,3.7658425631,18.0000000000,0.0000000000,1.6000000000,1.2000000000,1.2000000000,2375.6537374491,179.9000000000,1323.5400000000,,50.0000000000,1.6000000000,1.2000000000,1.2000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,,,,5600.6640000000,1.9000000000,1.1000000000,1.1000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,,500.0000000000,1.5000000000,0.7000000000,0.7000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,,29.0000000000,1.0000000000,0.7000000000,0.7000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
UK,0.5000000000,0.5000000000,0.5000000000,259.6137339056,-5.8000000000,-1.5000000000,-1.5000000000,541.7037495849,12.0000000000,0.3000000000,0.1000000000,0.1000000000,2.5000000000,0.0000000000,97.5000000000,0.0000000000,0.0000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.4000000000,0.6000000000,1.3000000000,1.7000000000,2.1000000000,2.7000000000,3.3000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,10062.3013532752,1.5600000000,0.8000000000,0.6000000000,0.6000000000,0.1808400000,0.1733600000,,0.0012024858,0.2645753456,58.5407848042,1.2708723838,0.3906781279,39.2315280626,0.0318816946,0.0051042356,0.0003291014,,,0.0868542802,0.0010854016,0.1751040767,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,1.0682498070,18.0000000000,19.2284965265,1.1000000000,0.6000000000,0.6000000000,0.4770540234,18.0000000000,8110.3330472103,1.1000000000,0.6000000000,0.6000000000,1020.0468636800,179.9000000000,2964.2987982833,,50.0000000000,1.1000000000,0.6000000000,0.6000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,27.2564358745,,,7042.8182918455,1.1000000000,0.7000000000,0.7000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,270.3639254322,500.0000000000,0.9000000000,0.8000000000,0.8000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,,29.0000000000,0.7000000000,0.4000000000,0.4000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
Local dataset,0.5000000000,0.2000000000,0.2000000000,100.0559006211,-1.0000000000,-5.5000000000,-5.5000000000,1458.7130772691,12.0000000000,0.2700000000,0.3000000000,0.3000000000,0.2000000000,0.0000000000,99.3000000000,0.5000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,,,
Edinburgh,0.5000000000,0.5000000000,0.5000000000,259.6137339056,-5.8000000000,-1.5000000000,-1.5000000000,541.7037495849,12.0000000000,0.3000000000,0.1000000000,0.1000000000,2.5000000000,0.0000000000,97.5000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,10062.3013532752,1.5600000000,0.8000000000,0.6000000000,0.6000000000,0.1808400000,0.1733600000,,0.0012024858,0.2645753456,58.5407848042,1.2708723838,0.3906781279,39.2315280626,0.0318816946,0.0051042356,0.0003291014,,,0.0868542802,0.0010854016,0.1751040767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0682498070,18.0000000000,19.2284965265,1.1000000000,0.6000000000,0.6000000000,0.4770540234,18.0000000000,8110.3330472103,1.1000000000,0.6000000000,0.6000000000,1020.0468636800,179.9000000000,2964.2987982833,,,1.1000000000,0.6000000000,0.6000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,27.2564358745,,,7042.8182918455,1.1000000000,0.7000000000,0.7000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,270.3639254322,500.0000000000,0.9000000000,0.8000000000,0.8000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,,29.0000000000,0.7000000000,0.4000000000,0.4000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,,,
Kymenlaakso,0.5000000000,0.2000000000,0.2000000000,100.0559006211,-1.0000000000,-5.5000000000,-5.5000000000,1458.7130772691,12.0000000000,0.2700000000,0.3000000000,0.3000000000,0.2000000000,0.0000000000,99.3000000000,0.5000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,,,,,,,,,,,,,,,,,,,,,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,,,,,,,,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,,,,,,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,,,,,,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,,,
Rathlin Island,0.5000000000,0.5000000000,0.5000000000,259.6137339056,-5.8000000000,-1.5000000000,-1.5000000000,541.7037495849,12.0000000000,0.3000000000,0.1000000000,0.1000000000,2.5000000000,0.0000000000,97.5000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,10062.3013532752,1.5600000000,0.8000000000,0.6000000000,0.6000000000,0.1808400000,0.1733600000,,0.0012024858,0.2645753456,58.5407848042,1.2708723838,0.3906781279,39.2315280626,0.0318816946,0.0051042356,0.0003291014,,,0.0868542802,0.0010854016,0.1751040767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0682498070,18.0000000000,19.2284965265,1.1000000000,0.6000000000,0.6000000000,0.4770540234,18.0000000000,8110.3330472103,1.1000000000,0.6000000000,0.6000000000,1020.0468636800,179.9000000000,2964.2987982833,,,1.1000000000,0.6000000000,0.6000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,27.2564358745,,,7042.8182918455,1.1000000000,0.7000000000,0.7000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,270.3639254322,500.0000000000,0.9000000000,0.8000000000,0.8000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,,29.0000000000,0.7000000000,0.4000000000,0.4000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,,,
Meath County,0.0000000000,0.4000000000,0.4000000000,364.0869565217,-1.5000000000,-3.8000000000,-3.8000000000,2124.3106214375,12.0000000000,0.7000000000,0.7000000000,0.7000000000,0.1000000000,0.0000000000,99.9000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,11785.6267249368,1.5000000000,1.8000000000,0.8000000000,0.8000000000,0.1645888264,0.1724143590,,,3.1069255413,38.1018727558,,,55.6842761616,,,,,,,2.7375346707,0.3693908706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,18.0000000000,0.0000000000,0.8000000000,0.6000000000,0.6000000000,0.8629597075,18.0000000000,5184.5982608696,0.8000000000,0.6000000000,0.6000000000,455.5706746700,179.9000000000,3624.5695652174,,,0.8000000000,0.6000000000,0.6000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,2.4643245884,,,7623.1670434783,1.4000000000,1.1000000000,1.1000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,417.5787586228,500.0000000000,2.5000000000,1.3000000000,1.3000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,,29.0000000000,1.6000000000,1.2000000000,1.2000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,,,
Haapsalu,-0.6000000000,-0.3000000000,-0.3000000000,710.8761514841,-1.3000000000,-6.1000000000,-6.1000000000,2171.6667850441,12.0000000000,0.6000000000,0.3000000000,0.3000000000,4.2000000000,0.0000000000,92.4000000000,3.4000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,10221.4599108145,1.4500000000,0.5000000000,0.5000000000,0.5000000000,0.1996100125,0.1877148979,0.0003761119,0.1659907100,0.3396290283,58.7093093959,1.1223178522,,39.4333247663,0.0557899290,,,,,,,0.1732622064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,18.0000000000,0.0000000000,2.4000000000,1.2000000000,1.2000000000,5.7196825024,18.0000000000,5146.7433367451,2.4000000000,1.2000000000,1.2000000000,313.5178051047,179.9000000000,5816.2772773797,,,2.4000000000,1.2000000000,1.2000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,117.2849630545,,,9549.5810214944,2.2000000000,1.3000000000,1.3000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,162.5887437184,500.0000000000,1.3000000000,0.9000000000,0.9000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,,29.0000000000,1.2000000000,0.9000000000,0.9000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,,,
