rescaling,Austria,Belgium,Bulgaria,Cyprus,Czechia,Germany,Denmark,Estonia,Spain,Finland,France,Greece,Hungary,Croatia,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Sweden,Slovenia,Slovakia,United Kingdom,Norway,Switzerland,Liechtenstein,Iceland
elec_other,0.561303256,0.630121652,0.479961286,0.48005013,0.421621593,0.497806933,0.724942576,0.626570973,0.730246499,0.387974109,0.493222207,0.519523652,0.62095929,0.565627291,0.709357983,0.783707938,0.816941567,0.429644374,0.671845486,0.410998188,0.835259304,0.754904793,0.438563384,0.948966235,0.564083964,0.550902645,0.566151462,0.725979686,0.250273423,0.561303256,0.561303256,0.250273423
elec_cool,0.000444674,0.003215617,0.011021976,0.245489179,0.004419143,0.009705941,0,0,0.023178547,0.004450128,0.008273539,0.133777546,0.013585713,0.08272443,0,0.046515697,0,0.013199423,0,0.157132203,0.011314484,0,0.01507318,0.022714617,0,0.026510502,0.006737311,0,0.001218758,0.000444674,0.000444674,0.001218758
elec_cook,0.10098484,0.055989257,0.149298162,0.068736749,0.153651641,0.297433168,0.07782521,0.119428652,0.092240362,0.025673813,0.076376114,0.139817627,0.035153888,0.101005507,0.069063049,0.056709464,0.056461834,0.049292941,0.088742317,0.036763158,0.033716709,0.105372542,0.382798332,0.000484432,0.030330507,0.076249882,0.061396464,0.054373793,0.020312795,0.10098484,0.10098484,0.020312795
elec_water,0.184584368,0.183809691,0.245490389,0.057496983,0.219431187,0.109872583,0.04885712,0.038000056,0.076001983,0.108793851,0.147221132,0.144695551,0.29373855,0.189553028,0.121663978,0.092112921,0.04819857,0.039579058,0.198350696,0.285982048,0.031881098,0.077157969,0.021109403,0.019229399,0.090628825,0.186041242,0.127458764,0.044550956,0.154992541,0.184584368,0.184584368,0.154992541
elec_heat,0.152682861,0.126863783,0.114228187,0.148226959,0.200876437,0.085181376,0.148375094,0.216000319,0.078332609,0.4731081,0.274907008,0.062185624,0.03656256,0.061089744,0.099914989,0.02095398,0.078398028,0.468284203,0.041061502,0.109124403,0.087828405,0.062564697,0.1424557,0.008605317,0.314956703,0.160295729,0.238256,0.175095565,0.573202483,0.152682861,0.152682861,0.573202483
solid_heat,0.904530954,0.992920034,0.951055188,0.987280634,0.958114194,0.875721857,0.9333239,0.888774455,0.965192634,0.965060278,0.994789739,0.950749274,0.983521803,0.953312542,0.903785618,0.955669512,0.935745406,0.961329179,0.827650115,1,1,0.897538987,0.515304454,0.854193181,0.887004412,0.879831791,0.90065748,0.706738762,1,0.904530954,0.904530954,1
solid_water,0.091314296,0.007079966,0.020530252,0.012719366,0.037734328,0.124278143,0.0666761,0.079103424,0.021582031,0.034939722,0.005210261,0,0.016130445,0.025414607,0.096214382,0.036378491,0.045971835,0.038670821,0.122970468,0,0,0.087353802,0.058545003,0.12922647,0.112995588,0.108523895,0.090933071,0.139467012,0,0.091314296,0.091314296,0
solid_cook,0.004154751,0,0.02841456,0,0.004151478,0,0,0.03212212,0.013225334,0,0,0.049250726,0.000347752,0.02127285,0,0.007951998,0.018282759,0,0.049379418,0,0,0.015107211,0.426150543,0.016580349,0,0.011644313,0.008409449,0.153794225,0,0.004154751,0.004154751,0
liquid_heat,0.899628905,0.934563834,0.04207298,0.756228614,0.795186226,0.838450936,0.539428073,0.196194133,0.716820663,0.780412655,0.783862203,0.954905812,0.127388092,0.489873179,0.771297341,0.728394253,0.297927907,0.926727543,0.529559251,0.243405721,1,0.14193756,0.091050256,0.013648941,0.821124521,0.775963193,0.619823876,1,1,0.899628905,0.899628905,1
liquid_water,0.099946279,0.06275897,0.025670666,0.079972683,0,0.147835821,0.460571927,0.021799348,0.21683843,0.194112792,0.116994437,0.038366438,0.141686561,0.057957992,0.227628493,0.142099148,0.08460017,0.070206133,0.182042644,0,0,0.061867468,0.503375874,0.205537279,0.178875479,0.122181676,0.249080909,0,0,0.099946279,0.099946279,0
liquid_cook,0.000424816,0.002677196,0.932256354,0.163798703,0.204813774,0.013713243,0,0.782006519,0.066340907,0.025474553,0.099143361,0.006727751,0.730925347,0.452168829,0.001074165,0.129506599,0.617471923,0.003066323,0.288398104,0.756594279,0,0.796194972,0.40557387,0.78081378,0,0.101855131,0.131095215,0,0,0.000424816,0.000424816,0
gas_heat,0.882248794,0.845601119,0.798330761,0.964123379,0.65669696,0.784145881,0.723023815,0.732629584,0.46315036,0.794354839,0.822811501,0.964123379,0.828165353,0.753081655,0.707997419,0.761338848,0.667072079,0.884019448,0.521411356,0,0.756947271,0.53435809,0.03123635,0.585389511,0.817324814,0.718311749,0.807441173,0.975858741,1,0.882248794,0.882248794,1
gas_water,0.111540012,0.143734092,0.144829022,0.029112145,0.228254834,0.21124825,0.273446591,0.128847916,0.427849243,0.189516129,0.114903749,0.029112145,0.102650765,0.173171881,0.267546097,0.15151484,0.104983895,0.087794032,0.1887254,0,0.222554306,0.264922375,0.617751362,0.227429934,0.143552949,0.239590372,0.122216038,0.024141259,0,0.111540012,0.111540012,0
gas_cook,0.006211194,0.010664789,0.056840217,0.006764476,0.115048205,0.004605869,0.003529594,0.138522499,0.109000397,0.016129032,0.06228475,0.006764476,0.069183882,0.073746465,0.024456484,0.087146312,0.227944026,0.02818652,0.289863244,0,0.020498423,0.200719535,0.351012288,0.187180555,0.039122237,0.042097879,0.070342789,0,0,0.006211194,0.006211194,0
heat_heat,0.866303284,1,0.596774523,1,0.674339232,0.909885309,0.614674563,0.794140643,1,0.69939994,0.772685606,0.938384297,0.738267717,0.932061746,1,0.872769657,0.854976151,1,0.727865525,1,0.685145474,0.672697368,1,1,0.775996651,0.820677266,0.826504464,1,0.799971296,0.866303284,0.866303284,0.799971296
