VariableName,Value,VariableAcronym
forestland_to_settlement__organic_soil,-2.25,CSC_COL150
cropland_to_settlement__aboveground_biomass,0,CSC_COL151
cropland_to_settlement__belowground_biomass,0,CSC_COL152
cropland_to_settlement__dead_wood,0,CSC_COL153
cropland_to_settlement__litter,0,CSC_COL154
cropland_to_settlement__mineral_soil,-2.67,CSC_COL155
cropland_to_settlement__organic_soil,-6.1,CSC_COL156
grassland_to_settlement__aboveground_biomass,-0.11,CSC_COL157
grassland_to_settlement__belowground_biomass,0,CSC_COL158
grassland_to_settlement__dead_wood,0,CSC_COL159
grassland_to_settlement__litter,0,CSC_COL160
grassland_to_settlement__mineral_soil,-0.55,CSC_COL161
grassland_to_settlement__organic_soil,0,CSC_COL162
wetland_to_settlement__aboveground_biomass,0,CSC_COL163
wetland_to_settlement__belowground_biomass,0,CSC_COL164
wetland_to_settlement__dead_wood,0,CSC_COL165
wetland_to_settlement__litter,0,CSC_COL166
wetland_to_settlement__mineral_soil,0,CSC_COL167
wetland_to_settlement__organic_soil,0,CSC_COL168
otherland_to_settlement__aboveground_biomass,0,CSC_COL169
otherland_to_settlement__belowground_biomass,0,CSC_COL170
otherland_to_settlement__dead_wood,0,CSC_COL171
otherland_to_settlement__litter,0,CSC_COL172
otherland_to_settlement__mineral_soil,-1.13,CSC_COL173
otherland_to_settlement__organic_soil,0,CSC_COL174
forestland_to_otherland__aboveground_biomass,-54.46,CSC_COL175
forestland_to_otherland__belowground_biomass,-12.83,CSC_COL176
forestland_to_otherland__dead_wood,-0.61,CSC_COL177
forestland_to_otherland__litter,0,CSC_COL178
forestland_to_otherland__mineral_soil,-1.62,CSC_COL179
forestland_to_otherland__organic_soil,0,CSC_COL180
cropland_to_otherland__aboveground_biomass,0,CSC_COL181
cropland_to_otherland__belowground_biomass,0,CSC_COL182
cropland_to_otherland__dead_wood,0,CSC_COL183
cropland_to_otherland__litter,0,CSC_COL184
cropland_to_otherland__mineral_soil,-2.67,CSC_COL185
cropland_to_otherland__organic_soil,0,CSC_COL186
grassland_to_otherland__aboveground_biomass,0,CSC_COL187
grassland_to_otherland__belowground_biomass,0,CSC_COL188
grassland_to_otherland__dead_wood,0,CSC_COL189
grassland_to_otherland__litter,0,CSC_COL190
grassland_to_otherland__mineral_soil,-0.55,CSC_COL191
grassland_to_otherland__organic_soil,0,CSC_COL192
wetland_to_otherland__aboveground_biomass,0,CSC_COL193
wetland_to_otherland__belowground_biomass,0,CSC_COL194
wetland_to_otherland__dead_wood,0,CSC_COL195
wetland_to_otherland__litter,0,CSC_COL196
wetland_to_otherland__mineral_soil,0,CSC_COL197
wetland_to_otherland__organic_soil,0,CSC_COL198
settlement_to_otherland__aboveground_biomass,0,CSC_COL199
settlement_to_otherland__belowground_biomass,0,CSC_COL200
settlement_to_otherland__dead_wood,0,CSC_COL201
settlement_to_otherland__litter,0,CSC_COL202
settlement_to_otherland__mineral_soil,0,CSC_COL203
settlement_to_otherland__organic_soil,0,CSC_COL204
forestland_remaining_forestland__aboveground_biomass,0.13,CSC_COL205
forestland_remaining_forestland__belowground_biomass,0,CSC_COL206
forestland_remaining_forestland__dead_wood,0.01,CSC_COL207
forestland_remaining_forestland__litter,0,CSC_COL208
forestland_remaining_forestland__mineral_soil,0.17,CSC_COL209
forestland_remaining_forestland__organic_soil,-0.19,CSC_COL210
cropland_remaining_cropland__aboveground_biomass,0,CSC_COL211
cropland_remaining_cropland__belowground_biomass,0,CSC_COL212
cropland_remaining_cropland__dead_wood,0,CSC_COL213
cropland_remaining_cropland__litter,0,CSC_COL214
cropland_remaining_cropland__mineral_soil,0.1,CSC_COL215
cropland_remaining_cropland__organic_soil,-6.1,CSC_COL216
grassland_remaining_grassland__aboveground_biomass,0.01,CSC_COL217
grassland_remaining_grassland__belowground_biomass,0,CSC_COL218
grassland_remaining_grassland__dead_wood,0,CSC_COL219
grassland_remaining_grassland__litter,0,CSC_COL220
grassland_remaining_grassland__mineral_soil,0,CSC_COL221
grassland_remaining_grassland__organic_soil,-0.29,CSC_COL222
peat_extraction_remaining_peat_extraction__aboveground_biomass,0,CSC_COL223
peat_extraction_remaining_peat_extraction__belowground_biomass,0,CSC_COL224
peat_extraction_remaining_peat_extraction__dead_wood,0,CSC_COL225
peat_extraction_remaining_peat_extraction__litter,0,CSC_COL226
peat_extraction_remaining_peat_extraction__mineral_soil,0,CSC_COL227
peat_extraction_remaining_peat_extraction__organic_soil,-16.08,CSC_COL228
wetland_remaining_wetland__aboveground_biomass,0,CSC_COL229
wetland_remaining_wetland__belowground_biomass,0,CSC_COL230
wetland_remaining_wetland__dead_wood,0,CSC_COL231
wetland_remaining_wetland__litter,0,CSC_COL232
wetland_remaining_wetland__mineral_soil,0,CSC_COL233
wetland_remaining_wetland__organic_soil,-12.24,CSC_COL234
settlement_remaining_settlement__aboveground_biomass,0,CSC_COL235
settlement_remaining_settlement__belowground_biomass,0,CSC_COL236
settlement_remaining_settlement__dead_wood,0,CSC_COL237
settlement_remaining_settlement__litter,0,CSC_COL238
settlement_remaining_settlement__mineral_soil,0,CSC_COL239
settlement_remaining_settlement__organic_soil,0,CSC_COL240
emission_factor_for_energy_carrier__gas,202,BUI_COL1
emission_factor_for_energy_carrier__oil,267,BUI_COL2
emission_factor_for_energy_carrier__coal,354,BUI_COL3
emission_factor_for_energy_carrier__peat,382,BUI_COL4
emission_factor_for_energy_carrier__wood,403,BUI_COL5
emission_factor_for_energy_carrier__renewable,0,BUI_COL6
emission_factor_for_energy_carrier__district_heating,1300,BUI_COL7
annual_demolition_rate_of_residential_buildings__2021_30,0,BUI_COL8
annual_demolition_rate_of_residential_buildings__2031_40,0,BUI_COL9
annual_demolition_rate_of_residential_buildings__2041_50,0,BUI_COL10
annual_demolition_of_commercial_buildings__2021_30,0,BUI_COL11
annual_demolition_of_commercial_buildings__2031_40,0,BUI_COL12
annual_demolition_of_commercial_buildings__2041_50,0,BUI_COL13
annual_increase_a_class_apartments__2021_30,0,BUI_COL14
annual_increase_a_class_apartments__2031_40,0,BUI_COL15
annual_increase_a_class_apartments__2041_50,0,BUI_COL16
annual_increase_b_class_apartments__2021_30,0,BUI_COL17
annual_increase_b_class_apartments__2031_40,0,BUI_COL18
annual_increase_b_class_apartments__2041_50,0,BUI_COL19
annual_increase_a_class_terraced_units__2021_30,0,BUI_COL20
annual_increase_a_class_terraced_units__2031_40,0,BUI_COL21
annual_increase_a_class_terraced_units__2041_50,0,BUI_COL22
annual_increase_b_class_terraced_units__2021_30,0,BUI_COL23
annual_increase_b_class_terraced_units__2031_40,0,BUI_COL24
annual_increase_b_class_terraced_units__2041_50,0,BUI_COL25
annual_increase_a_class_semi_detached_units__2021_30,0,BUI_COL26
annual_increase_a_class_semi_detached_units__2031_40,0,BUI_COL27
annual_increase_a_class_semi_detached_units__2041_50,0,BUI_COL28
annual_increase_b_class_semi_detached_units__2021_30,0,BUI_COL29
annual_increase_b_class_semi_detached_units__2031_40,0,BUI_COL30
annual_increase_b_class_semi_detached_units__2041_50,0,BUI_COL31
annual_increase_a_class_detached_units__2021_30,0,BUI_COL32
annual_increase_a_class_detached_units__2031_40,0,BUI_COL33
annual_increase_a_class_detached_units__2041_50,0,BUI_COL34
annual_increase_b_class_detached_units__2021_30,0,BUI_COL35
annual_increase_b_class_detached_units__2031_40,0,BUI_COL36
annual_increase_b_class_detached_units__2041_50,0,BUI_COL37
annual_increase_commercial_buildings__2021_30,0,BUI_COL38
annual_increase_commercial_buildings__2031_40,0,BUI_COL39
annual_increase_commercial_buildings__2041_50,0,BUI_COL40
floor_area_per_residential_unit__average,61,BUI_COL41
floor_area_per_residential_unit__apartment,49,BUI_COL42
floor_area_per_residential_unit__terraced,54,BUI_COL43
floor_area_per_residential_unit__semi_detached,56,BUI_COL44
floor_area_per_residential_unit__detached,87,BUI_COL45
average_total_energy_use__all_residential,16264,BUI_COL46
end_use_of_energy_residential_buildings__space_heating,78,BUI_COL47
end_use_of_energy_residential_buildings__water_heating,15,BUI_COL48
end_use_of_energy_residential_buildings__lights_and_appliances,7,BUI_COL49
end_use_of_energy_residential_buildings__pumps_and_fans,0,BUI_COL50
a_rated_apartment__electricity,681,BUI_COL51
a_rated_apartment__gas,0,BUI_COL52
a_rated_apartment__oil,0,BUI_COL53
a_rated_apartment__coal,0,BUI_COL54
a_rated_apartment__peat,0,BUI_COL55
a_rated_apartment__wood,0,BUI_COL56
a_rated_apartment__renewable,1551,BUI_COL57
a_rated_apartment__heat,1287,BUI_COL58
a_rated_terraced__electricity,731,BUI_COL59
a_rated_terraced__gas,0,BUI_COL60
a_rated_terraced__oil,0,BUI_COL61
a_rated_terraced__coal,0,BUI_COL62
a_rated_terraced__peat,0,BUI_COL63
a_rated_terraced__wood,0,BUI_COL64
a_rated_terraced__renewable,1664,BUI_COL65
a_rated_terraced__heat,1380,BUI_COL66
a_rated_semi_detached__electricity,765,BUI_COL67
a_rated_semi_detached__gas,0,BUI_COL68
a_rated_semi_detached__oil,0,BUI_COL69
a_rated_semi_detached__coal,0,BUI_COL70
a_rated_semi_detached__peat,0,BUI_COL71
a_rated_semi_detached__wood,0,BUI_COL72
a_rated_semi_detached__renewable,1743,BUI_COL73
a_rated_semi_detached__heat,1446,BUI_COL74
a_rated_detached__electricity,1176,BUI_COL75
a_rated_detached__gas,0,BUI_COL76
a_rated_detached__oil,0,BUI_COL77
a_rated_detached__coal,0,BUI_COL78
a_rated_detached__peat,0,BUI_COL79
a_rated_detached__wood,0,BUI_COL80
a_rated_detached__renewable,2679,BUI_COL81
a_rated_detached__heat,2221,BUI_COL82
b_rated_apartment__electricity,873,BUI_COL83
b_rated_apartment__gas,291,BUI_COL84
b_rated_apartment__oil,48,BUI_COL85
b_rated_apartment__coal,0,BUI_COL86
b_rated_apartment__peat,0,BUI_COL87
b_rated_apartment__wood,0,BUI_COL88
b_rated_apartment__renewable,1988,BUI_COL89
b_rated_apartment__heat,1648,BUI_COL90
b_rated_terraced__electricity,936,BUI_COL91
b_rated_terraced__gas,312,BUI_COL92
b_rated_terraced__oil,52,BUI_COL93
b_rated_terraced__coal,0,BUI_COL94
b_rated_terraced__peat,0,BUI_COL95
b_rated_terraced__wood,0,BUI_COL96
b_rated_terraced__renewable,2132,BUI_COL97
b_rated_terraced__heat,1768,BUI_COL98
b_rated_semi_detached__electricity,981,BUI_COL99
b_rated_semi_detached__gas,327,BUI_COL100
b_rated_semi_detached__oil,54,BUI_COL101
b_rated_semi_detached__coal,0,BUI_COL102
b_rated_semi_detached__peat,0,BUI_COL103
b_rated_semi_detached__wood,0,BUI_COL104
b_rated_semi_detached__renewable,2234,BUI_COL105
b_rated_semi_detached__heat,1853,BUI_COL106
b_rated_detached__electricity,1507,BUI_COL107
b_rated_detached__gas,502,BUI_COL108
b_rated_detached__oil,84,BUI_COL109
b_rated_detached__coal,0,BUI_COL110
b_rated_detached__peat,0,BUI_COL111
b_rated_detached__wood,0,BUI_COL112
b_rated_detached__renewable,3432,BUI_COL113
b_rated_detached__heat,2846,BUI_COL114
c_rated_apartment__electricity,2323,BUI_COL115
c_rated_apartment__gas,774,BUI_COL116
c_rated_apartment__oil,129,BUI_COL117
c_rated_apartment__coal,0,BUI_COL118
c_rated_apartment__peat,0,BUI_COL119
c_rated_apartment__wood,0,BUI_COL120
c_rated_apartment__renewable,5290,BUI_COL121
c_rated_apartment__heat,4387,BUI_COL122
c_rated_terraced__electricity,2567,BUI_COL123
c_rated_terraced__gas,856,BUI_COL124
c_rated_terraced__oil,143,BUI_COL125
c_rated_terraced__coal,0,BUI_COL126
c_rated_terraced__peat,0,BUI_COL127
c_rated_terraced__wood,0,BUI_COL128
c_rated_terraced__renewable,5847,BUI_COL129
c_rated_terraced__heat,4849,BUI_COL130
c_rated_semi_detached__electricity,2689,BUI_COL131
c_rated_semi_detached__gas,896,BUI_COL132
c_rated_semi_detached__oil,149,BUI_COL133
c_rated_semi_detached__coal,0,BUI_COL134
c_rated_semi_detached__peat,0,BUI_COL135
c_rated_semi_detached__wood,0,BUI_COL136
c_rated_semi_detached__renewable,6125,BUI_COL137
c_rated_semi_detached__heat,5080,BUI_COL138
c_rated_detached__electricity,4132,BUI_COL139
c_rated_detached__gas,1377,BUI_COL140
c_rated_detached__oil,230,BUI_COL141
c_rated_detached__coal,0,BUI_COL142
c_rated_detached__peat,0,BUI_COL143
c_rated_detached__wood,0,BUI_COL144
c_rated_detached__renewable,9411,BUI_COL145
c_rated_detached__heat,7804,BUI_COL146
d_rated_apartment__electricity,3195,BUI_COL147
d_rated_apartment__gas,1065,BUI_COL148
d_rated_apartment__oil,178,BUI_COL149
d_rated_apartment__coal,0,BUI_COL150
d_rated_apartment__peat,0,BUI_COL151
d_rated_apartment__wood,0,BUI_COL152
d_rated_apartment__renewable,7278,BUI_COL153
d_rated_apartment__heat,6035,BUI_COL154
d_rated_terraced__electricity,3382,BUI_COL155
d_rated_terraced__gas,1127,BUI_COL156
d_rated_terraced__oil,188,BUI_COL157
d_rated_terraced__coal,0,BUI_COL158
d_rated_terraced__peat,0,BUI_COL159
d_rated_terraced__wood,0,BUI_COL160
d_rated_terraced__renewable,7704,BUI_COL161
d_rated_terraced__heat,6389,BUI_COL162
d_rated_semi_detached__electricity,3543,BUI_COL163
d_rated_semi_detached__gas,1181,BUI_COL164
d_rated_semi_detached__oil,197,BUI_COL165
d_rated_semi_detached__coal,0,BUI_COL166
d_rated_semi_detached__peat,0,BUI_COL167
d_rated_semi_detached__wood,0,BUI_COL168
d_rated_semi_detached__renewable,8071,BUI_COL169
d_rated_semi_detached__heat,6693,BUI_COL170
d_rated_detached__electricity,5444,BUI_COL171
d_rated_detached__gas,1815,BUI_COL172
d_rated_detached__oil,302,BUI_COL173
d_rated_detached__coal,0,BUI_COL174
d_rated_detached__peat,0,BUI_COL175
d_rated_detached__wood,0,BUI_COL176
d_rated_detached__renewable,12400,BUI_COL177
d_rated_detached__heat,10283,BUI_COL178
e_rated_apartment__electricity,4138,BUI_COL179
e_rated_apartment__gas,1379,BUI_COL180
e_rated_apartment__oil,230,BUI_COL181
e_rated_apartment__coal,0,BUI_COL182
e_rated_apartment__peat,0,BUI_COL183
e_rated_apartment__wood,0,BUI_COL184
e_rated_apartment__renewable,9426,BUI_COL185
e_rated_apartment__heat,7817,BUI_COL186
e_rated_terraced__electricity,4424,BUI_COL187
e_rated_terraced__gas,1475,BUI_COL188
e_rated_terraced__oil,246,BUI_COL189
e_rated_terraced__coal,0,BUI_COL190
e_rated_terraced__peat,0,BUI_COL191
e_rated_terraced__wood,0,BUI_COL192
e_rated_terraced__renewable,10078,BUI_COL193
e_rated_terraced__heat,8357,BUI_COL194
e_rated_semi_detached__electricity,4635,BUI_COL195
e_rated_semi_detached__gas,1545,BUI_COL196
e_rated_semi_detached__oil,257,BUI_COL197
e_rated_semi_detached__coal,0,BUI_COL198
e_rated_semi_detached__peat,0,BUI_COL199
e_rated_semi_detached__wood,0,BUI_COL200
e_rated_semi_detached__renewable,10557,BUI_COL201
e_rated_semi_detached__heat,8755,BUI_COL202
e_rated_detached__electricity,7121,BUI_COL203
e_rated_detached__gas,2374,BUI_COL204
e_rated_detached__oil,396,BUI_COL205
e_rated_detached__coal,0,BUI_COL206
e_rated_detached__peat,0,BUI_COL207
e_rated_detached__wood,0,BUI_COL208
e_rated_detached__renewable,16220,BUI_COL209
e_rated_detached__heat,13451,BUI_COL210
f_rated_apartment__electricity,5053,BUI_COL211
f_rated_apartment__gas,1684,BUI_COL212
f_rated_apartment__oil,281,BUI_COL213
f_rated_apartment__coal,0,BUI_COL214
f_rated_apartment__peat,0,BUI_COL215
f_rated_apartment__wood,0,BUI_COL216
f_rated_apartment__renewable,11510,BUI_COL217
f_rated_apartment__heat,9545,BUI_COL218
f_rated_terraced__electricity,5436,BUI_COL219
f_rated_terraced__gas,1812,BUI_COL220
f_rated_terraced__oil,302,BUI_COL221
f_rated_terraced__coal,0,BUI_COL222
f_rated_terraced__peat,0,BUI_COL223
f_rated_terraced__wood,0,BUI_COL224
f_rated_terraced__renewable,12382,BUI_COL225
f_rated_terraced__heat,10268,BUI_COL226
f_rated_semi_detached__electricity,5695,BUI_COL227
f_rated_semi_detached__gas,1898,BUI_COL228
f_rated_semi_detached__oil,316,BUI_COL229
f_rated_semi_detached__coal,0,BUI_COL230
f_rated_semi_detached__peat,0,BUI_COL231
f_rated_semi_detached__wood,0,BUI_COL232
f_rated_semi_detached__renewable,12972,BUI_COL233
f_rated_semi_detached__heat,10757,BUI_COL234
f_rated_detached__electricity,8749,BUI_COL235
f_rated_detached__gas,2916,BUI_COL236
f_rated_detached__oil,486,BUI_COL237
f_rated_detached__coal,0,BUI_COL238
f_rated_detached__peat,0,BUI_COL239
f_rated_detached__wood,0,BUI_COL240
f_rated_detached__renewable,19929,BUI_COL241
f_rated_detached__heat,16527,BUI_COL242
g_rated_apartment__electricity,5827.414497,BUI_COL243
g_rated_apartment__gas,1942.471499,BUI_COL244
g_rated_apartment__oil,323.7452499,BUI_COL245
g_rated_apartment__coal,0,BUI_COL246
g_rated_apartment__peat,0,BUI_COL247
g_rated_apartment__wood,0,BUI_COL248
g_rated_apartment__renewable,13273.55524,BUI_COL249
g_rated_apartment__heat,11007.3385,BUI_COL250
g_rated_terraced__electricity,6190.990567,BUI_COL251
g_rated_terraced__gas,2063.663522,BUI_COL252
g_rated_terraced__oil,343.9439204,BUI_COL253
g_rated_terraced__coal,0,BUI_COL254
g_rated_terraced__peat,0,BUI_COL255
g_rated_terraced__wood,0,BUI_COL256
g_rated_terraced__renewable,14101.70074,BUI_COL257
g_rated_terraced__heat,11694.09329,BUI_COL258
g_rated_semi_detached__electricity,6485.799641,BUI_COL259
g_rated_semi_detached__gas,2161.933214,BUI_COL260
g_rated_semi_detached__oil,360.3222023,BUI_COL261
g_rated_semi_detached__coal,0,BUI_COL262
g_rated_semi_detached__peat,0,BUI_COL263
g_rated_semi_detached__wood,0,BUI_COL264
g_rated_semi_detached__renewable,14773.21029,BUI_COL265
g_rated_semi_detached__heat,12250.95488,BUI_COL266
g_rated_detached__electricity,9964.546722,BUI_COL267
g_rated_detached__gas,3321.515574,BUI_COL268
g_rated_detached__oil,553.585929,BUI_COL269
g_rated_detached__coal,0,BUI_COL270
g_rated_detached__peat,0,BUI_COL271
g_rated_detached__wood,0,BUI_COL272
g_rated_detached__renewable,22697.02309,BUI_COL273
g_rated_detached__heat,18821.92159,BUI_COL274
existing_apartments__electricity,2323,BUI_COL275
existing_apartments__gas,774,BUI_COL276
existing_apartments__oil,129,BUI_COL277
existing_apartments__coal,0,BUI_COL278
existing_apartments__peat,0,BUI_COL279
existing_apartments__wood,0,BUI_COL280
existing_apartments__renewable,5290,BUI_COL281
existing_apartments__heat,4387,BUI_COL282
existing_terraced__electricity,2567,BUI_COL283
existing_terraced__gas,856,BUI_COL284
existing_terraced__oil,143,BUI_COL285
existing_terraced__coal,0,BUI_COL286
existing_terraced__peat,0,BUI_COL287
existing_terraced__wood,0,BUI_COL288
existing_terraced__renewable,5847,BUI_COL289
existing_terraced__heat,4849,BUI_COL290
existing_semi_detached__electricity,2689,BUI_COL291
existing_semi_detached__gas,896,BUI_COL292
existing_semi_detached__oil,149,BUI_COL293
existing_semi_detached__coal,0,BUI_COL294
existing_semi_detached__peat,0,BUI_COL295
existing_semi_detached__wood,0,BUI_COL296
existing_semi_detached__renewable,6125,BUI_COL297
existing_semi_detached__heat,5080,BUI_COL298
existing_detached__electricity,4132,BUI_COL299
existing_detached__gas,1377,BUI_COL300
existing_detached__oil,230,BUI_COL301
existing_detached__coal,0,BUI_COL302
existing_detached__peat,0,BUI_COL303
existing_detached__wood,0,BUI_COL304
existing_detached__renewable,9411,BUI_COL305
existing_detached__heat,7804,BUI_COL306
ec_exiting_building_retail__electricity,165,BUI_COL307
ec_exiting_building_retail__gas,0,BUI_COL308
ec_exiting_building_retail__oil,0,BUI_COL309
ec_exiting_building_retail__coal,0,BUI_COL310
ec_exiting_building_retail__peat,0,BUI_COL311
ec_exiting_building_retail__wood,0,BUI_COL312
ec_exiting_building_retail__renewable,0,BUI_COL313
ec_exiting_building_retail__heat,0,BUI_COL314
ec_exiting_building_health__electricity,420,BUI_COL315
ec_exiting_building_health__gas,32,BUI_COL316
ec_exiting_building_health__oil,27,BUI_COL317
ec_exiting_building_health__coal,0,BUI_COL318
ec_exiting_building_health__peat,3,BUI_COL319
ec_exiting_building_health__wood,3,BUI_COL320
ec_exiting_building_health__renewable,0,BUI_COL321
ec_exiting_building_health__heat,0,BUI_COL322
ec_exiting_building_hospitality__electricity,350,BUI_COL323
ec_exiting_building_hospitality__gas,64.82,BUI_COL324
ec_exiting_building_hospitality__oil,54,BUI_COL325
ec_exiting_building_hospitality__coal,0,BUI_COL326
ec_exiting_building_hospitality__peat,5,BUI_COL327
ec_exiting_building_hospitality__wood,6.1,BUI_COL328
ec_exiting_building_hospitality__renewable,0,BUI_COL329
ec_exiting_building_hospitality__heat,0,BUI_COL330
ec_exiting_building_offices__electricity,120,BUI_COL331
ec_exiting_building_offices__gas,47,BUI_COL332
ec_exiting_building_offices__oil,39,BUI_COL333
ec_exiting_building_offices__coal,0,BUI_COL334
ec_exiting_building_offices__peat,4,BUI_COL335
ec_exiting_building_offices__wood,4,BUI_COL336
ec_exiting_building_offices__renewable,0,BUI_COL337
ec_exiting_building_offices__heat,0,BUI_COL338
ec_exiting_building_industrial__electricity,130,BUI_COL339
ec_exiting_building_industrial__gas,97,BUI_COL340
ec_exiting_building_industrial__oil,81,BUI_COL341
ec_exiting_building_industrial__coal,0,BUI_COL342
ec_exiting_building_industrial__peat,8,BUI_COL343
ec_exiting_building_industrial__wood,9,BUI_COL344
ec_exiting_building_industrial__renewable,0,BUI_COL345
ec_exiting_building_industrial__heat,0,BUI_COL346
ec_exiting_building_warehouses__electricity,160,BUI_COL347
ec_exiting_building_warehouses__gas,17,BUI_COL348
ec_exiting_building_warehouses__oil,15,BUI_COL349
ec_exiting_building_warehouses__coal,0,BUI_COL350
ec_exiting_building_warehouses__peat,1,BUI_COL351
ec_exiting_building_warehouses__wood,2,BUI_COL352
ec_exiting_building_warehouses__renewable,0,BUI_COL353
ec_exiting_building_warehouses__heat,0,BUI_COL354
building_type__residential_1,Apartment,BUI_COL355
building_type__residential_2,Terraced,BUI_COL356
building_type__residential_3,Semi_detached,BUI_COL357
building_type__residential_4,Detached,BUI_COL358
building_type__commercial_1,Retail,BUI_COL359
building_type__commercial_2,Health,BUI_COL360
building_type__commercial_3,Hospitality,BUI_COL361
building_type__commercial_4,Offices,BUI_COL362
building_type__commercial_5,Industrial,BUI_COL363
building_type__commercial_6,Warehouses,BUI_COL364
ec_new_building_retail__electricity,81,BUI_COL365
ec_new_building_retail__gas,0,BUI_COL366
ec_new_building_retail__oil,0,BUI_COL367
ec_new_building_retail__coal,0,BUI_COL368
ec_new_building_retail__peat,0,BUI_COL369
ec_new_building_retail__wood,0,BUI_COL370
ec_new_building_retail__renewable,5,BUI_COL371
ec_new_building_retail__heat,38,BUI_COL372
ec_new_building_health__electricity,239,BUI_COL373
ec_new_building_health__gas,0,BUI_COL374
ec_new_building_health__oil,0,BUI_COL375
ec_new_building_health__coal,0,BUI_COL376
ec_new_building_health__peat,0,BUI_COL377
ec_new_building_health__wood,0,BUI_COL378
ec_new_building_health__renewable,14,BUI_COL379
ec_new_building_health__heat,111,BUI_COL380
ec_new_building_hospitality__electricity,236.96,BUI_COL381
ec_new_building_hospitality__gas,0,BUI_COL382
ec_new_building_hospitality__oil,0,BUI_COL383
ec_new_building_hospitality__coal,0,BUI_COL384
ec_new_building_hospitality__peat,0,BUI_COL385
ec_new_building_hospitality__wood,0,BUI_COL386
ec_new_building_hospitality__renewable,13.7,BUI_COL387
ec_new_building_hospitality__heat,109.4,BUI_COL388
ec_new_building_offices__electricity,106,BUI_COL389
ec_new_building_offices__gas,0,BUI_COL390
ec_new_building_offices__oil,0,BUI_COL391
ec_new_building_offices__coal,0,BUI_COL392
ec_new_building_offices__peat,0,BUI_COL393
ec_new_building_offices__wood,0,BUI_COL394
ec_new_building_offices__renewable,6,BUI_COL395
ec_new_building_offices__heat,49,BUI_COL396
ec_new_building_industrial__electricity,160,BUI_COL397
ec_new_building_industrial__gas,0,BUI_COL398
ec_new_building_industrial__oil,0,BUI_COL399
ec_new_building_industrial__coal,0,BUI_COL400
ec_new_building_industrial__peat,0,BUI_COL401
ec_new_building_industrial__wood,0,BUI_COL402
ec_new_building_industrial__renewable,9,BUI_COL403
ec_new_building_industrial__heat,74,BUI_COL404
ec_new_building_warehouses__electricity,96,BUI_COL405
ec_new_building_warehouses__gas,0,BUI_COL406
ec_new_building_warehouses__oil,0,BUI_COL407
ec_new_building_warehouses__coal,0,BUI_COL408
ec_new_building_warehouses__peat,0,BUI_COL409
ec_new_building_warehouses__wood,0,BUI_COL410
ec_new_building_warehouses__renewable,6,BUI_COL411
ec_new_building_warehouses__heat,44,BUI_COL412
